"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2010-01-07 02:00:00","2010-01-07 03:00:00","2010-01-07 04:00:00","2010-01-07 05:00:00","12029.0"
"2010-01-07 03:00:00","2010-01-07 04:00:00","2010-01-07 05:00:00","2010-01-07 06:00:00","12416.0"
"2010-01-07 04:00:00","2010-01-07 05:00:00","2010-01-07 06:00:00","2010-01-07 07:00:00","13326.0"
"2010-01-07 05:00:00","2010-01-07 06:00:00","2010-01-07 07:00:00","2010-01-07 08:00:00","13718.0"
"2010-01-07 06:00:00","2010-01-07 07:00:00","2010-01-07 08:00:00","2010-01-07 09:00:00","13970.0"
"2010-01-07 07:00:00","2010-01-07 08:00:00","2010-01-07 09:00:00","2010-01-07 10:00:00","13757.0"
"2010-01-07 08:00:00","2010-01-07 09:00:00","2010-01-07 10:00:00","2010-01-07 11:00:00","13695.0"
"2010-01-07 09:00:00","2010-01-07 10:00:00","2010-01-07 11:00:00","2010-01-07 12:00:00","13685.0"
"2010-01-07 10:00:00","2010-01-07 11:00:00","2010-01-07 12:00:00","2010-01-07 13:00:00","13582.0"
"2010-01-07 11:00:00","2010-01-07 12:00:00","2010-01-07 13:00:00","2010-01-07 14:00:00","13434.0"
"2010-01-07 12:00:00","2010-01-07 13:00:00","2010-01-07 14:00:00","2010-01-07 15:00:00","13243.0"
"2010-01-07 13:00:00","2010-01-07 14:00:00","2010-01-07 15:00:00","2010-01-07 16:00:00","13391.0"
"2010-01-07 14:00:00","2010-01-07 15:00:00","2010-01-07 16:00:00","2010-01-07 17:00:00","13681.0"
"2010-01-07 15:00:00","2010-01-07 16:00:00","2010-01-07 17:00:00","2010-01-07 18:00:00","13598.0"
"2010-01-07 16:00:00","2010-01-07 17:00:00","2010-01-07 18:00:00","2010-01-07 19:00:00","13494.0"
"2010-01-07 17:00:00","2010-01-07 18:00:00","2010-01-07 19:00:00","2010-01-07 20:00:00","13531.0"
"2010-01-07 18:00:00","2010-01-07 19:00:00","2010-01-07 20:00:00","2010-01-07 21:00:00","13417.0"
"2010-01-07 19:00:00","2010-01-07 20:00:00","2010-01-07 21:00:00","2010-01-07 22:00:00","13034.0"
"2010-01-07 20:00:00","2010-01-07 21:00:00","2010-01-07 22:00:00","2010-01-07 23:00:00","13360.0"
"2010-01-07 21:00:00","2010-01-07 22:00:00","2010-01-07 23:00:00","2010-01-08 00:00:00","13004.0"
"2010-01-07 22:00:00","2010-01-07 23:00:00","2010-01-08 00:00:00","2010-01-08 01:00:00","12475.0"
"2010-01-07 23:00:00","2010-01-08 00:00:00","2010-01-08 01:00:00","2010-01-08 02:00:00","12253.0"
"2010-01-08 00:00:00","2010-01-08 01:00:00","2010-01-08 02:00:00","2010-01-08 03:00:00","11974.0"
"2010-01-08 01:00:00","2010-01-08 02:00:00","2010-01-08 03:00:00","2010-01-08 04:00:00","11995.0"
"2010-01-08 02:00:00","2010-01-08 03:00:00","2010-01-08 04:00:00","2010-01-08 05:00:00","12115.0"
"2010-01-08 03:00:00","2010-01-08 04:00:00","2010-01-08 05:00:00","2010-01-08 06:00:00","12497.0"
"2010-01-08 04:00:00","2010-01-08 05:00:00","2010-01-08 06:00:00","2010-01-08 07:00:00","13408.0"
"2010-01-08 05:00:00","2010-01-08 06:00:00","2010-01-08 07:00:00","2010-01-08 08:00:00","13531.0"
"2010-01-08 06:00:00","2010-01-08 07:00:00","2010-01-08 08:00:00","2010-01-08 09:00:00","13557.0"
"2010-01-08 07:00:00","2010-01-08 08:00:00","2010-01-08 09:00:00","2010-01-08 10:00:00","13459.0"
"2010-01-08 08:00:00","2010-01-08 09:00:00","2010-01-08 10:00:00","2010-01-08 11:00:00","13361.0"
"2010-01-08 09:00:00","2010-01-08 10:00:00","2010-01-08 11:00:00","2010-01-08 12:00:00","13552.0"
"2010-01-08 10:00:00","2010-01-08 11:00:00","2010-01-08 12:00:00","2010-01-08 13:00:00","13596.0"
"2010-01-08 11:00:00","2010-01-08 12:00:00","2010-01-08 13:00:00","2010-01-08 14:00:00","13572.0"
"2010-01-08 12:00:00","2010-01-08 13:00:00","2010-01-08 14:00:00","2010-01-08 15:00:00","13431.0"
"2010-01-08 13:00:00","2010-01-08 14:00:00","2010-01-08 15:00:00","2010-01-08 16:00:00","13602.0"
"2010-01-08 14:00:00","2010-01-08 15:00:00","2010-01-08 16:00:00","2010-01-08 17:00:00","14063.0"
"2010-01-08 15:00:00","2010-01-08 16:00:00","2010-01-08 17:00:00","2010-01-08 18:00:00","14063.0"
"2010-01-08 16:00:00","2010-01-08 17:00:00","2010-01-08 18:00:00","2010-01-08 19:00:00","13958.0"
"2010-01-08 17:00:00","2010-01-08 18:00:00","2010-01-08 19:00:00","2010-01-08 20:00:00","13975.0"
"2010-01-08 18:00:00","2010-01-08 19:00:00","2010-01-08 20:00:00","2010-01-08 21:00:00","13976.0"
"2010-01-08 19:00:00","2010-01-08 20:00:00","2010-01-08 21:00:00","2010-01-08 22:00:00","13522.0"
"2010-01-08 20:00:00","2010-01-08 21:00:00","2010-01-08 22:00:00","2010-01-08 23:00:00","13943.0"
"2010-01-08 21:00:00","2010-01-08 22:00:00","2010-01-08 23:00:00","2010-01-09 00:00:00","13522.0"
"2010-01-08 22:00:00","2010-01-08 23:00:00","2010-01-09 00:00:00","2010-01-09 01:00:00","12992.0"
"2010-01-08 23:00:00","2010-01-09 00:00:00","2010-01-09 01:00:00","2010-01-09 02:00:00","12603.0"
"2010-01-09 00:00:00","2010-01-09 01:00:00","2010-01-09 02:00:00","2010-01-09 03:00:00","12373.0"
"2010-01-09 01:00:00","2010-01-09 02:00:00","2010-01-09 03:00:00","2010-01-09 04:00:00","12243.0"
"2010-01-09 02:00:00","2010-01-09 03:00:00","2010-01-09 04:00:00","2010-01-09 05:00:00","12253.0"
"2010-01-09 03:00:00","2010-01-09 04:00:00","2010-01-09 05:00:00","2010-01-09 06:00:00","12365.0"
"2010-01-09 04:00:00","2010-01-09 05:00:00","2010-01-09 06:00:00","2010-01-09 07:00:00","12544.0"
"2010-01-09 05:00:00","2010-01-09 06:00:00","2010-01-09 07:00:00","2010-01-09 08:00:00","12470.0"
"2010-01-09 06:00:00","2010-01-09 07:00:00","2010-01-09 08:00:00","2010-01-09 09:00:00","12833.0"
"2010-01-09 07:00:00","2010-01-09 08:00:00","2010-01-09 09:00:00","2010-01-09 10:00:00","12921.0"
"2010-01-09 08:00:00","2010-01-09 09:00:00","2010-01-09 10:00:00","2010-01-09 11:00:00","12995.0"
"2010-01-09 09:00:00","2010-01-09 10:00:00","2010-01-09 11:00:00","2010-01-09 12:00:00","13020.0"
"2010-01-09 10:00:00","2010-01-09 11:00:00","2010-01-09 12:00:00","2010-01-09 13:00:00","12976.0"
"2010-01-09 11:00:00","2010-01-09 12:00:00","2010-01-09 13:00:00","2010-01-09 14:00:00","12913.0"
"2010-01-09 12:00:00","2010-01-09 13:00:00","2010-01-09 14:00:00","2010-01-09 15:00:00","12856.0"
"2010-01-09 13:00:00","2010-01-09 14:00:00","2010-01-09 15:00:00","2010-01-09 16:00:00","13053.0"
"2010-01-09 14:00:00","2010-01-09 15:00:00","2010-01-09 16:00:00","2010-01-09 17:00:00","13695.0"
"2010-01-09 15:00:00","2010-01-09 16:00:00","2010-01-09 17:00:00","2010-01-09 18:00:00","13932.0"
"2010-01-09 16:00:00","2010-01-09 17:00:00","2010-01-09 18:00:00","2010-01-09 19:00:00","14031.0"
"2010-01-09 17:00:00","2010-01-09 18:00:00","2010-01-09 19:00:00","2010-01-09 20:00:00","13873.0"
"2010-01-09 18:00:00","2010-01-09 19:00:00","2010-01-09 20:00:00","2010-01-09 21:00:00","13495.0"
"2010-01-09 19:00:00","2010-01-09 20:00:00","2010-01-09 21:00:00","2010-01-09 22:00:00","13046.0"
"2010-01-09 20:00:00","2010-01-09 21:00:00","2010-01-09 22:00:00","2010-01-09 23:00:00","13496.0"
"2010-01-09 21:00:00","2010-01-09 22:00:00","2010-01-09 23:00:00","2010-01-10 00:00:00","13103.0"
"2010-01-09 22:00:00","2010-01-09 23:00:00","2010-01-10 00:00:00","2010-01-10 01:00:00","12582.0"
"2010-01-09 23:00:00","2010-01-10 00:00:00","2010-01-10 01:00:00","2010-01-10 02:00:00","12202.0"
"2010-01-10 00:00:00","2010-01-10 01:00:00","2010-01-10 02:00:00","2010-01-10 03:00:00","11904.0"
"2010-01-10 01:00:00","2010-01-10 02:00:00","2010-01-10 03:00:00","2010-01-10 04:00:00","11768.0"
"2010-01-10 02:00:00","2010-01-10 03:00:00","2010-01-10 04:00:00","2010-01-10 05:00:00","11735.0"
"2010-01-10 03:00:00","2010-01-10 04:00:00","2010-01-10 05:00:00","2010-01-10 06:00:00","11733.0"
"2010-01-10 04:00:00","2010-01-10 05:00:00","2010-01-10 06:00:00","2010-01-10 07:00:00","11861.0"
"2010-01-10 05:00:00","2010-01-10 06:00:00","2010-01-10 07:00:00","2010-01-10 08:00:00","11715.0"
"2010-01-10 06:00:00","2010-01-10 07:00:00","2010-01-10 08:00:00","2010-01-10 09:00:00","11949.0"
"2010-01-10 07:00:00","2010-01-10 08:00:00","2010-01-10 09:00:00","2010-01-10 10:00:00","11910.0"
"2010-01-10 08:00:00","2010-01-10 09:00:00","2010-01-10 10:00:00","2010-01-10 11:00:00","12087.0"
"2010-01-10 09:00:00","2010-01-10 10:00:00","2010-01-10 11:00:00","2010-01-10 12:00:00","12188.0"
"2010-01-10 10:00:00","2010-01-10 11:00:00","2010-01-10 12:00:00","2010-01-10 13:00:00","12203.0"
"2010-01-10 11:00:00","2010-01-10 12:00:00","2010-01-10 13:00:00","2010-01-10 14:00:00","12084.0"
"2010-01-10 12:00:00","2010-01-10 13:00:00","2010-01-10 14:00:00","2010-01-10 15:00:00","12028.0"
